---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 127 |      [14  2] |      W |      3.0000 |     3.0000 |  -44.0000 |     -0.1 |  -44.1000
 128 |      [14  1] |      W |      3.0000 |     3.1623 |  -22.0000 |     -0.1 |  -22.1000
 129 |      [14  0] |      E |      3.0000 |     3.0000 |  -46.0000 |     -0.1 |  -46.1000
 130 |      [14  1] |      E |      3.0000 |     3.1623 |  -48.0000 |     -0.1 |  -48.1000
 131 |      [14  2] |      E |      3.0000 |     3.6056 |  -48.0000 |     -0.1 |  -48.1000
 132 |      [14  3] |      E |      3.0000 |     4.2426 |  -48.0000 |     -0.1 |  -48.1000
 133 |      [14  4] |      E |      3.0000 |     5.0000 |  -25.0000 |     -0.1 |  -25.1000
 134 |      [14  5] |      W |      4.0000 |     4.2426 |  -49.0000 |     -0.1 |  -49.1000
 135 |      [14  4] |      W |      3.0000 |     3.6056 |  -50.0000 |     -0.1 |  -50.1000
 136 |      [14  3] |      W |      3.0000 |     3.1623 |  -50.0000 |     -0.1 |  -50.1000
 137 |      [14  2] |      W |      3.0000 |     3.0000 |  -48.0000 |     -0.1 |  -48.1000
 138 |      [14  1] |      W |      3.0000 |     3.1623 |  -24.0000 |     -0.1 |  -24.1000
 139 |      [14  0] |      E |      3.0000 |     3.0000 |  -50.0000 |     -0.1 |  -50.1000
 140 |      [14  1] |      E |      3.0000 |     3.1623 |  -52.0000 |     -0.1 |  -52.1000
 141 |      [14  2] |      E |      3.0000 |     3.6056 |  -52.0000 |     -0.1 |  -52.1000
 142 |      [14  3] |      E |      3.0000 |     4.2426 |  -52.0000 |     -0.1 |  -52.1000
 143 |      [14  4] |      E |      3.0000 |     5.0000 |  -27.0000 |     -0.1 |  -27.1000
 144 |      [14  5] |      W |      4.0000 |     4.2426 |  -53.0000 |     -0.1 |  -53.1000
 145 |      [14  4] |      W |      3.0000 |     3.6056 |  -54.0000 |     -0.1 |  -54.1000
 146 |      [14  3] |      W |      3.0000 |     3.1623 |  -54.0000 |     -0.1 |  -54.1000
 147 |      [14  2] |      W |      3.0000 |     3.0000 |  -52.0000 |     -0.1 |  -52.1000
 148 |      [14  1] |      W |      3.0000 |     3.1623 |  -26.0000 |     -0.1 |  -26.1000
 149 |      [14  0] |      E |      3.0000 |     3.0000 |  -54.0000 |     -0.1 |  -54.1000
 150 |      [14  1] |      E |      3.0000 |     3.1623 |  -56.0000 |     -0.1 |  -56.1000
 151 |      [14  2] |      E |      3.0000 |     3.6056 |  -56.0000 |     -0.1 |  -56.1000
 152 |      [14  3] |      E |      3.0000 |     4.2426 |  -56.0000 |     -0.1 |  -56.1000
 153 |      [14  4] |      E |      3.0000 |     5.0000 |  -29.0000 |     -0.1 |  -29.1000
 154 |      [14  5] |      W |      4.0000 |     4.2426 |  -57.0000 |     -0.1 |  -57.1000
 155 |      [14  4] |      W |      3.0000 |     3.6056 |  -58.0000 |     -0.1 |  -58.1000
 156 |      [14  3] |      W |      3.0000 |     3.1623 |  -58.0000 |     -0.1 |  -58.1000
 157 |      [14  2] |      W |      3.0000 |     3.0000 |  -56.0000 |     -0.1 |  -56.1000
 158 |      [14  1] |      W |      3.0000 |     3.1623 |  -28.0000 |     -0.1 |  -28.1000
 159 |      [14  0] |      E |      3.0000 |     3.0000 |  -58.0000 |     -0.1 |  -58.1000
 160 |      [14  1] |      E |      3.0000 |     3.1623 |  -60.0000 |     -0.1 |  -60.1000
 161 |      [14  2] |      E |      3.0000 |     3.6056 |  -60.0000 |     -0.1 |  -60.1000
 162 |      [14  3] |      E |      3.0000 |     4.2426 |  -60.0000 |     -0.1 |  -60.1000
 163 |      [14  4] |      E |      3.0000 |     5.0000 |  -31.0000 |     -0.1 |  -31.1000
 164 |      [14  5] |      W |      4.0000 |     4.2426 |  -61.0000 |     -0.1 |  -61.1000
 165 |      [14  4] |      W |      3.0000 |     3.6056 |  -62.0000 |     -0.1 |  -62.1000
 166 |      [14  3] |      W |      3.0000 |     3.1623 |  -62.0000 |     -0.1 |  -62.1000
 167 |      [14  2] |      W |      3.0000 |     3.0000 |  -60.0000 |     -0.1 |  -60.1000
 168 |      [14  1] |      W |      3.0000 |     3.1623 |  -30.0000 |     -0.1 |  -30.1000
 169 |      [14  0] |      E |      3.0000 |     3.0000 |  -62.0000 |     -0.1 |  -62.1000
 170 |      [14  1] |      E |      3.0000 |     3.1623 |  -64.0000 |     -0.1 |  -64.1000
 171 |      [14  2] |      E |      3.0000 |     3.6056 |  -64.0000 |     -0.1 |  -64.1000
 172 |      [14  3] |      E |      3.0000 |     4.2426 |  -64.0000 |     -0.1 |  -64.1000
 173 |      [14  4] |      E |      3.0000 |     5.0000 |  -33.0000 |     -0.1 |  -33.1000
 174 |      [14  5] |      W |      4.0000 |     4.2426 |  -65.0000 |     -0.1 |  -65.1000
 175 |      [14  4] |      W |      3.0000 |     3.6056 |  -66.0000 |     -0.1 |  -66.1000
 176 |      [14  3] |      W |      3.0000 |     3.1623 |  -66.0000 |     -0.1 |  -66.1000
 177 |      [14  2] |      W |      3.0000 |     3.0000 |  -64.0000 |     -0.1 |  -64.1000
 178 |      [14  1] |      W |      3.0000 |     3.1623 |  -32.0000 |     -0.1 |  -32.1000
 179 |      [14  0] |      E |      3.0000 |     3.0000 |  -66.0000 |     -0.1 |  -66.1000
 180 |      [14  1] |      E |      3.0000 |     3.1623 |  -68.0000 |     -0.1 |  -68.1000
 181 |      [14  2] |      E |      3.0000 |     3.6056 |  -68.0000 |     -0.1 |  -68.1000
 182 |      [14  3] |      E |      3.0000 |     4.2426 |  -68.0000 |     -0.1 |  -68.1000
 183 |      [14  4] |      E |      3.0000 |     5.0000 |  -35.0000 |     -0.1 |  -35.1000
 184 |      [14  5] |      W |      4.0000 |     4.2426 |  -69.0000 |     -0.1 |  -69.1000
 185 |      [14  4] |      W |      3.0000 |     3.6056 |  -70.0000 |     -0.1 |  -70.1000
 186 |      [14  3] |      W |      3.0000 |     3.1623 |  -70.0000 |     -0.1 |  -70.1000
 187 |      [14  2] |      W |      3.0000 |     3.0000 |  -68.0000 |     -0.1 |  -68.1000
 188 |      [14  1] |      W |      3.0000 |     3.1623 |  -34.0000 |     -0.1 |  -34.1000
 189 |      [14  0] |      E |      3.0000 |     3.0000 |  -70.0000 |     -0.1 |  -70.1000
 190 |      [14  1] |      E |      3.0000 |     3.1623 |  -72.0000 |     -0.1 |  -72.1000
 191 |      [14  2] |      E |      3.0000 |     3.6056 |  -72.0000 |     -0.1 |  -72.1000
 192 |      [14  3] |      E |      3.0000 |     4.2426 |  -72.0000 |     -0.1 |  -72.1000
 193 |      [14  4] |      E |      3.0000 |     5.0000 |  -37.0000 |     -0.1 |  -37.1000
 194 |      [14  5] |      W |      4.0000 |     4.2426 |  -73.0000 |     -0.1 |  -73.1000
 195 |      [14  4] |      W |      3.0000 |     3.6056 |  -74.0000 |     -0.1 |  -74.1000
 196 |      [14  3] |      W |      3.0000 |     3.1623 |  -74.0000 |     -0.1 |  -74.1000
 197 |      [14  2] |      W |      3.0000 |     3.0000 |  -72.0000 |     -0.1 |  -72.1000
 198 |      [14  1] |      W |      3.0000 |     3.1623 |  -36.0000 |     -0.1 |  -36.1000
 199 |      [14  0] |      E |      3.0000 |     3.0000 |  -74.0000 |     -0.1 |  -74.1000
 200 |      [14  1] |      E |      3.0000 |     3.1623 |  -76.0000 |     -0.1 |  -76.1000
 201 |      [14  2] |      E |      3.0000 |     3.6056 |  -76.0000 |     -0.1 |  -76.1000
 202 |      [14  3] |      E |      3.0000 |     4.2426 |  -76.0000 |     -0.1 |  -76.1000
 203 |      [14  4] |      E |      3.0000 |     5.0000 |  -39.0000 |     -0.1 |  -39.1000
 204 |      [14  5] |      W |      4.0000 |     4.2426 |  -77.0000 |     -0.1 |  -77.1000
 205 |      [14  4] |      W |      3.0000 |     3.6056 |  -78.0000 |     -0.1 |  -78.1000
 206 |      [14  3] |      W |      3.0000 |     3.1623 |  -78.0000 |     -0.1 |  -78.1000
 207 |      [14  2] |      W |      3.0000 |     3.0000 |  -76.0000 |     -0.1 |  -76.1000
 208 |      [14  1] |      W |      3.0000 |     3.1623 |  -38.0000 |     -0.1 |  -38.1000
 209 |      [14  0] |      E |      3.0000 |     3.0000 |  -78.0000 |     -0.1 |  -78.1000
 210 |      [14  1] |      E |      3.0000 |     3.1623 |  -80.0000 |     -0.1 |  -80.1000
 211 |      [14  2] |      E |      3.0000 |     3.6056 |  -80.0000 |     -0.1 |  -80.1000
 212 |      [14  3] |      E |      3.0000 |     4.2426 |  -80.0000 |     -0.1 |  -80.1000
