time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
6250,13,4.1,478,-1.3030526900000001,0.0,1530,0.9604166666666666,0.023689912632107735,624,0.001
6306,13,4.2,474,-1.3168810100000001,0.0,1540,0.960062,0.04416797310113907,652,0.001
6356,13,4.35,470,-1.3262417999999996,0.0,1550,0.9597453333333333,0.02601567469537258,677,0.001
6381,13,4.34,468,-1.3233532599999998,0.0,1560,0.959587,0.021310193464159966,690,0.001
6415,13,4.38,465,-1.33026143,0.0,1570,0.9593716666666667,0.02781376615166664,707,0.001
6439,13,4.2,463,-1.3147383300000002,0.0,1580,0.9592196666666666,0.04154464602470398,719,0.001
6499,14,4.43,459,-1.31835154,0.01,1590,0.9588396666666666,0.031841911375522614,749,0.001
6533,14,4.11,456,-1.28314529,0.01,1600,0.9586243333333333,0.03934955224394798,766,0.001
6562,14,3.9,454,-1.26475858,0.01,1610,0.9584406666666667,0.03304816037416458,780,0.001
6607,14,3.94,451,-1.24571902,0.02,1620,0.9581556666666667,0.042590562254190445,803,0.001
6644,14,3.94,449,-1.24286588,0.02,1630,0.9579213333333334,0.02709878981113434,821,0.001
6700,15,3.94,446,-1.2205323200000002,0.03,1640,0.9575666666666667,0.030883464962244034,849,0.001
6732,15,3.76,444,-1.18628264,0.04,1650,0.957364,0.029781369492411613,865,0.001
6786,15,4.05,440,-1.2149577500000002,0.04,1660,0.957022,0.022751647979021072,892,0.001
6816,15,4.01,438,-1.20900195,0.04,1670,0.9568320000000001,0.024838749319314957,907,0.001
6850,15,4.11,436,-1.2144012,0.04,1680,0.9566166666666666,0.02536877989768982,924,0.001
6898,15,3.99,434,-1.2194896100000001,0.03,1690,0.9563126666666667,0.02162729948759079,948,0.001
6962,16,4.29,431,-1.25078526,0.03,1700,0.9559073333333332,0.023667285218834877,980,0.001
7027,16,4.65,427,-1.2784252300000003,0.03,1710,0.9554956666666666,0.021731708198785782,1013,0.001
7083,16,4.76,425,-1.3051621200000003,0.02,1720,0.955141,0.015641391277313232,1041,0.001
7105,16,4.61,423,-1.29077046,0.02,1730,0.9550016666666667,0.016321703791618347,1052,0.001
7142,17,4.42,419,-1.2930024200000003,0.01,1740,0.9547673333333334,0.02338729426264763,1070,0.001
7169,17,4.37,416,-1.3071356,0.0,1750,0.9545963333333333,0.02305256947875023,1084,0.001
7210,17,4.24,412,-1.2934763699999998,0.0,1760,0.9543366666666666,0.022788016125559807,1104,0.001
7268,17,4.52,407,-1.3196138900000003,0.0,1770,0.9539693333333334,0.015328042209148407,1133,0.001
7299,18,4.49,405,-1.3001195,0.01,1780,0.9537730000000001,0.01415207888931036,1149,0.001
7342,18,4.44,401,-1.3003030000000002,0.01,1790,0.9535006666666667,0.015247028321027756,1170,0.001
7382,18,4.2,398,-1.27877968,0.01,1800,0.9532473333333333,0.017811788246035576,1190,0.001
7448,18,4.21,392,-1.2788591699999998,0.01,1810,0.9528293333333333,0.010199502110481262,1223,0.001
7489,19,4.06,389,-1.26678699,0.01,1820,0.9525696666666666,0.01883533224463463,1244,0.001
7562,19,4.57,384,-1.3122085600000002,0.01,1830,0.9521073333333332,0.013815863057971,1280,0.001
7612,19,4.7,381,-1.32687591,0.01,1840,0.9517906666666667,0.013907214626669884,1305,0.001
7639,20,4.7,378,-1.3298400299999997,0.01,1850,0.9516196666666668,0.024595243856310844,1319,0.001
7675,20,4.65,375,-1.3051544700000002,0.02,1860,0.9513916666666667,0.00811680406332016,1337,0.001
7729,20,4.61,370,-1.2817450700000004,0.03,1870,0.9510496666666666,0.009903838858008385,1364,0.001
7772,21,4.73,367,-1.3126313099999998,0.02,1880,0.9507773333333334,0.010198904201388359,1385,0.001
7816,21,4.74,366,-1.31512968,0.02,1890,0.9504986666666666,0.02344563417136669,1407,0.001
7896,21,5.14,364,-1.3498263700000002,0.02,1900,0.949992,0.019170770421624184,1447,0.001
7940,21,4.92,363,-1.32989099,0.02,1910,0.9497133333333334,0.013666750863194466,1469,0.001
7996,22,5.07,362,-1.3400993999999997,0.02,1920,0.9493586666666667,0.015467360615730286,1497,0.001
8048,22,4.86,361,-1.3214128500000004,0.02,1930,0.9490293333333333,0.014557990245521069,1523,0.001
8088,22,4.76,360,-1.3113586199999998,0.02,1940,0.9487760000000001,0.025227755308151245,1543,0.001
8122,22,4.83,359,-1.3190674799999997,0.02,1950,0.9485606666666667,0.008468251675367355,1560,0.001
8177,22,5.02,358,-1.35581049,0.01,1960,0.9482123333333332,0.010025766678154469,1588,0.001
8228,23,4.99,357,-1.3703450899999998,0.0,1970,0.9478893333333333,0.011890078894793987,1613,0.001
8262,23,4.9,356,-1.3627472799999998,0.0,1980,0.947674,0.010943686589598656,1630,0.001
8288,23,4.72,355,-1.3399899000000002,0.0,1990,0.9475093333333333,0.023863283917307854,1643,0.001
8358,23,4.62,353,-1.33126025,0.0,2000,0.947066,0.035320136696100235,1678,0.001
8422,23,4.82,352,-1.3559530100000001,0.0,2010,0.9466606666666668,0.008443307131528854,1710,0.001
8451,24,4.55,351,-1.3321963700000001,0.0,2020,0.9464769999999999,0.011300276964902878,1725,0.001
8489,24,4.41,350,-1.3212530199999997,0.0,2030,0.9462363333333333,0.011911139823496342,1744,0.001
8550,24,4.62,349,-1.3352098900000002,0.0,2040,0.9458500000000001,0.012657200917601585,1774,0.001
8591,24,4.69,348,-1.3408921,0.0,2050,0.9455903333333334,0.010649578645825386,1795,0.001
8648,24,4.71,347,-1.3470141399999997,0.0,2060,0.9452293333333334,0.019876498728990555,1823,0.001
