---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 196 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 197 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 198 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 199 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 200 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 201 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 202 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 203 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 204 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 205 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 206 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 207 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 208 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 209 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 210 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 211 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 212 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 213 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 214 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 215 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 216 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 217 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 218 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 219 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 220 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 221 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 222 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 223 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 224 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 225 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
---------------------------------------------------------------------------------------------------------

