---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 163 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 164 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 165 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 166 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 167 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 168 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 169 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 170 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 171 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 172 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 173 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 174 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 175 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 176 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 177 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 178 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 179 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 180 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 181 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 182 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 183 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 184 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 185 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 186 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 187 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 188 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 189 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 190 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 191 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 192 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 193 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 194 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 195 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 196 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 197 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 198 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 199 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 200 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 201 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 202 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 203 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 204 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 205 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 206 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 207 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 208 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
 209 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
 210 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
 211 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
 212 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
