---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
 149 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 150 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 151 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 152 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 153 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 154 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 155 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 156 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 157 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 158 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 159 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 160 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 161 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 162 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 163 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 164 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 165 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 166 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 167 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 168 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 169 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 170 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 171 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 172 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 173 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 174 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 175 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 176 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 177 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 178 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 179 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 180 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 181 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 182 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 183 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 184 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 185 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 186 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 187 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 188 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 189 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 190 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 191 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 192 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 193 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 194 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 195 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 196 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 197 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 198 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 199 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 200 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 201 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 202 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 203 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 204 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 205 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
 206 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
 207 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
 208 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
