method,split,policy_seed,scenarios,repetitions_per_scenario,route_measurements,route_mean_ms,route_median_ms,route_sample_std_ms,route_min_ms,route_max_ms,decision_measurements,decision_mean_ms,decision_median_ms,decision_sample_std_ms,decision_min_ms,decision_max_ms
rl_dqn,no_fly_penalty,22,10,10,100,3.832904320097441,3.2110054962686263,1.6985222737474353,2.1229850008239737,10.096445003000554,100,0.450575164485346,0.3896857620020455,0.09690934388260415,0.3538308334706623,0.7766496156154272
rl_dqn,no_fly_penalty,33,10,10,100,87.51939383111676,78.28218449958513,16.677106837742922,73.49688098838669,130.8620809977583,100,0.38897508369385225,0.34792081999815616,0.074120474834413,0.32665280439282973,0.5816092488789258
rl_dqn,no_fly_penalty,44,10,10,100,71.56776727137185,77.00097949873452,35.55744154694455,5.332124001142802,132.84924999061332,100,0.41665511147135165,0.36799536221224116,0.08693725941007704,0.3289453110402165,0.6521670621850717
rl_dqn,no_fly_penalty,55,10,10,100,2.9759466899122344,2.804649499921652,0.7962450913218473,1.9906320012523793,5.4473259988299105,100,0.3586908582724253,0.34762459981720895,0.04058052651087279,0.32912111115971737,0.5641528329457893
rl_dqn,no_fly_penalty,all_seeds,10,10,500,50.23760399645471,74.75649499156134,43.03388781163268,1.9906320012523793,132.84924999061332,500,0.3987943616910619,0.3568502272835097,0.08239477120838658,0.32490729330877205,0.7766496156154272
rl_dqn,obstacle_density_10,11,10,10,100,87.21680387836386,77.34833348331449,16.479760348343547,73.98411099529767,130.03500099694065,100,0.38763023945939495,0.3437703710369533,0.07324337932597132,0.3288182710902119,0.5779333377641807
rl_dqn,obstacle_density_10,22,10,10,100,4.580227609967551,4.1883129970301525,1.2176846415261482,3.0924000002414687,8.500879997882294,100,0.5492922887502412,0.5368361667024146,0.09826201181386433,0.35584936350377655,0.8854950002777124
rl_dqn,obstacle_density_10,33,10,10,100,86.08210455075096,77.33314249981049,16.05276560255078,73.5931500166771,123.89521399745718,100,0.38258713133667094,0.3437028555547133,0.0713456249002257,0.3270806667407871,0.5506453955442541
rl_dqn,obstacle_density_10,44,10,10,100,86.82676504911797,77.62588698733452,15.671911917254398,74.08563699027582,127.86691598557809,100,0.3858967335516354,0.3450039421659312,0.069652941854464,0.32926949773455916,0.568297404380347
rl_dqn,obstacle_density_10,55,10,10,100,4.120124179789855,3.7608799984809593,1.376444556141677,2.0898809998470824,9.138862000327208,100,0.47944538608210324,0.49988359082758566,0.0988493452832311,0.33599400012462866,0.8611899996010054
