method,split,independent_units,events_per_unit_mean,post_change_success_mean,post_change_success_95ci,recovery_rate_mean,recovery_rate_95ci,finite_post_cost_rate_mean,finite_post_cost_rate_95ci,recovery_steps_mean,recovery_steps_95ci,optimal_cost_shock_mean,optimal_cost_shock_95ci,extra_optimal_cost_mean,extra_optimal_cost_95ci,reaction_time_ms_mean,reaction_time_ms_95ci,node_expansions_mean,node_expansions_95ci
rl_full,stochastic_obstacles_p20,5,33.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359399002849627,0.06685136553486201,nan,nan
rl_full_observation,all_dynamic,5,2721.8,0.06220980587732935,0.11291021583563009,0.9996308876811594,0.0007104580998355019,1.0,0.0,0.01079401907233764,0.01841531595536623,0.0007794434265664742,0.0008896623990226135,0.0012906509699829997,0.0016026545844408807,0.46496446759549587,0.06509939712991784,nan,nan
rl_full_observation,changed_toggle_periods,5,994.8,0.08404099181694336,0.13386223943979256,0.9995594713656387,0.0012231035705717245,1.0,0.0,0.00011940298507462687,0.00033151583345645294,0.0004638625415437278,0.000981308906130878,0.0004638625415437278,0.000981308906130878,0.45223341137493833,0.08496504782403641,nan,nan
rl_full_observation,moving_obstacles_period_2,5,301.6,0.19601848812375128,0.4427380840624602,1.0,0.0,1.0,0.0,0.001512941512941513,0.002573257781385258,-0.0003488114209457628,0.0009684557623219549,1.3437620020631095e-18,2.2855120297518087e-18,0.4748430997819295,0.08600311075246807,nan,nan
rl_full_observation,moving_obstacles_period_4,5,227.8,0.19939666052587576,0.4902408287079892,1.0,0.0,1.0,0.0,0.0030794625125731825,0.005773978377363507,0.0002885647475994611,0.0008011841810051573,0.0002885647475994611,0.0008011841810051573,0.46424505254264253,0.09514931083184332,nan,nan
rl_full_observation,new_dynamic_obstacle_locations,5,564.0,0.036590001341145505,0.07542582625055402,0.99875,0.0034705563814972293,1.0,0.0,0.0,0.0,0.0010355339059327378,0.002875103044393302,0.0010355339059327378,0.002875103044393302,0.45674297021842736,0.04299571855727565,nan,nan
rl_full_observation,stochastic_obstacles_p05,5,162.0,0.04155116251130883,0.0702593033668517,1.0,0.0,1.0,0.0,0.048,0.13326936504949408,0.002209138999323174,0.006133553161372377,0.003313708498984761,0.009200329742058566,0.46537092849426903,0.10535792268584576,nan,nan
rl_full_observation,stochastic_obstacles_p20,5,471.6,0.02976227194997849,0.06531201217656522,1.0,0.0,1.0,0.0,0.04285714285714286,0.11899050450847685,0.0018686326122094457,0.005188155869581902,0.004360142761822054,0.01210569702902443,0.5034633211357409,0.07705280262282202,nan,nan
rl_no_curriculum,all_dynamic,5,177.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0033552330022918256,0.0038076258202756584,0.0008860183152365672,0.004829722062447205,0.002779566028942144,0.0031543405104003165,0.5122707159432797,0.022222256952482096,nan,nan
rl_no_curriculum,changed_toggle_periods,5,58.2,1.0,0.0,1.0,0.0,1.0,0.0,0.010344827586206896,0.011725644494107857,0.008569935773236448,0.009713841954049764,0.008569935773236448,0.009713841954049764,0.49472578686445073,0.07053058070124893,nan,nan
