method,split,independent_units,scenarios_per_unit,success_rate_mean,success_rate_95ci,path_cost_gap_mean,path_cost_gap_95ci,compute_time_ms_mean,compute_time_ms_95ci,decision_latency_ms_mean,decision_latency_ms_95ci,steps_mean,steps_95ci,replans_mean,replans_95ci,node_expansions_mean,node_expansions_95ci
dijkstra,no_fly_hard,10,1,1.0,0.0,0.0,0.0,1.04931327,0.39028346438325257,1.04931327,0.39028346438325257,8.2,2.017706674229335,1.0,0.0,117.7,31.98648987913382
dijkstra,no_fly_penalty,10,1,1.0,0.0,0.0,0.0,1.65717082004,0.3116407268433063,1.65717082004,0.3116407268433063,7.8,1.3404328443648983,1.0,0.0,120.2,22.940549060622942
dijkstra,obstacle_density_10,10,1,1.0,0.0,0.0,0.0,0.74991936999,0.16902847127465295,0.74991936999,0.16902847127465295,8.5,1.7277510720682192,1.0,0.0,114.5,25.35735907816274
dijkstra,obstacle_density_40,10,1,1.0,0.0,0.0,0.0,0.64920351002,0.09976960883778369,0.64920351002,0.09976960883778369,11.0,1.9371956590424115,1.0,0.0,107.6,17.21552960239938
dijkstra,scale_100,10,1,1.0,0.0,0.0,0.0,44.54314314998,12.485381934943163,44.54314314998,12.485381934943163,57.2,12.998603431295743,1.0,0.0,4965.1,1305.7626044979372
dijkstra,scale_15,10,1,1.0,0.0,0.0,0.0,1.46119212998,0.32379847096648057,1.46119212998,0.32379847096648057,9.0,2.078778974460037,1.0,0.0,116.2,27.70729560206847
dijkstra,scale_30,10,1,1.0,0.0,0.0,0.0,3.36594339999,1.2785646346153854,3.36594339999,1.2785646346153854,17.8,4.694543889000434,1.0,0.0,437.7,154.60687160129805
dijkstra,scale_50,10,1,1.0,0.0,0.0,0.0,8.29721382998,4.382177420442234,8.29721382998,4.382177420442234,25.8,7.6140624196807565,1.0,0.0,1034.5,350.23249569629354
dijkstra,seen_layout_unseen_pairs,30,1,1.0,0.0,0.0,0.0,0.6456180500233334,0.08198809833732065,0.6456180500233334,0.08198809833732065,8.0,0.7403462446818594,1.0,0.0,98.7,12.25418509627388
dijkstra,sensor_noise_p05,10,1,1.0,0.0,0.0,0.0,2.17865282001,0.35465316253125245,2.17865282001,0.35465316253125245,9.2,2.073301286481863,1.0,0.0,168.4,25.927123956112258
