run_id,scenario_id,split,grid_size,planner,repetition,event_index,change_step,change_reason,planning_time_ms,reaction_time_ms,node_expansions,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,post_change_success
OOD-DYNLOC-004:astar:r04,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.08103599975584075,0.08103599975584075,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r05,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.0631950006209081,0.0631950006209081,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r06,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06378899979608832,0.06378899979608832,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r07,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06292499983828748,0.06292499983828748,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r08,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06455299990193453,0.06455299990193453,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r09,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.07104500036803074,0.07104500036803074,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:astar:r10,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,astar,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06313099947874434,0.06313099947874434,8,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r01,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.27011800011678133,0.27011800011678133,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r02,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.27218899958825205,0.27218899958825205,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r03,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.2652060002219514,0.2652060002219514,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r04,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.2806550000968855,0.2806550000968855,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r05,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.26434200026415056,0.26434200026415056,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r06,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.27295500058244215,0.27295500058244215,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r07,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.2846300003511715,0.2846300003511715,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r08,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.2750880003077327,0.2750880003077327,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r09,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.2735419993769028,0.2735419993769028,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dijkstra:r10,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dijkstra,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.26712999988376396,0.26712999988376396,40,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r01,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14302900035545463,0.14302900035545463,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r02,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14741999984835275,0.14741999984835275,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r03,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14666900005977368,0.14666900005977368,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r04,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14289500086306361,0.14289500086306361,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r05,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14033000024937792,0.14033000024937792,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r06,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1384759998472873,0.1384759998472873,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r07,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1426899998477893,0.1426899998477893,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r08,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13800399938190822,0.13800399938190822,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r09,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13862499963579467,0.13862499963579467,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-004:dstar_lite:r10,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,dstar_lite,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.13728199974138988,0.13728199974138988,0,4.414213562373095,4.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r01,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06112099981692154,0.06112099981692154,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r02,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06058200051484164,0.06058200051484164,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r03,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.05926899939368013,0.05926899939368013,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r04,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06672899962723022,0.06672899962723022,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r05,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.06406400007108459,0.06406400007108459,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r06,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.05951699949946487,0.05951699949946487,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
OOD-DYNLOC-005:astar:r07,OOD-DYNLOC-005,new_dynamic_obstacle_locations,15,astar,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.0596290001340094,0.0596290001340094,6,5.242640687119285,5.242640687119285,0.0,0.0,0,True
