scenario_id,grid_size,route_bucket,scenario_family,success,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,failure_label,post_change_completion,dynamic_event_count,path_cost,fresh_astar_cost,path_cost_gap,decisions,mean_decision_latency_ms,decision_computation_seconds,episode_computation_seconds
VAL2-G015-RANDOM_STATIC-LONG-02,15,long,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,14.071067811865476,,57,2.4600754279577943,0.14022429939359426,0.19778400007635355
VAL2-G015-STRUCTURED-SHORT-01,15,short,structured,True,False,False,False,False,True,success,,0,8.242640687119286,3.414213562373095,4.828427124746191,7,2.0683000163574303,0.014478100114502013,0.019725600024685264
VAL2-G015-STRUCTURED-SHORT-02,15,short,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,3.0,,30,2.568023329755912,0.07704069989267737,0.10917830001562834
VAL2-G015-STRUCTURED-MEDIUM-01,15,medium,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,8.485281374238571,,34,2.0897499943042503,0.07105149980634451,0.09751420002430677
VAL2-G015-STRUCTURED-MEDIUM-02,15,medium,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,6.0,,30,2.403113331335286,0.07209339994005859,0.10364400001708418
VAL2-G015-STRUCTURED-LONG-01,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,15.313708498984763,,62,2.4340322519081736,0.15090999961830676,0.21539020002819598
VAL2-G015-STRUCTURED-LONG-02,15,long,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,11.071067811865476,,45,3.143380002843009,0.1414521001279354,0.2121394999558106
VAL2-G015-DYNAMIC-SHORT-01,15,short,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,9,,3.414213562373095,,30,2.4452166787038245,0.07335650036111474,0.11026129999663681
VAL2-G015-DYNAMIC-SHORT-02,15,short,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,8,,5.82842712474619,,30,2.0971933379769325,0.06291580013930798,0.09673200000543147
VAL2-G015-DYNAMIC-MEDIUM-01,15,medium,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,12,,10.414213562373096,,42,2.042116658274262,0.08576889964751899,0.14483919995836914
VAL2-G015-DYNAMIC-MEDIUM-02,15,medium,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,10,,8.485281374238571,,34,2.237102941281217,0.07606150000356138,0.11556209996342659
VAL2-G015-DYNAMIC-LONG-01,15,long,dynamic,False,False,True,True,True,True,two_cell_oscillation,False,12,,10.899494936611667,,44,2.6976159027650612,0.1186950997216627,0.20058980002067983
VAL2-G015-DYNAMIC-LONG-02,15,long,dynamic,False,False,True,False,True,True,longer_repeated_loop,False,13,,11.65685424949238,,47,2.9256765884248184,0.13750679965596646,0.19926350004971027
VAL2-G030-EMPTY-SHORT-01,30,short,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,7.414213562373095,,30,2.834176664085438,0.08502529992256314,0.13362730003427714
VAL2-G030-EMPTY-SHORT-02,30,short,empty,False,False,True,False,False,True,excessive_detour,,0,,8.485281374238571,,34,2.4678499937769685,0.08390689978841692,0.1276188000338152
VAL2-G030-EMPTY-MEDIUM-01,30,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,20.72792206135786,,83,5.091631331997195,0.4226054005557671,0.5962372000794858
VAL2-G030-EMPTY-MEDIUM-02,30,medium,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,17.82842712474619,,72,8.943699997164206,0.6439463997958228,0.7939207999734208
VAL2-G030-EMPTY-LONG-01,30,long,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,35.52691193458119,,143,5.074067834204623,0.7255917002912611,0.9526648999890313
VAL2-G030-EMPTY-LONG-02,30,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,25.899494936611667,,104,2.2703278832173406,0.2361140998546034,0.36904799996409565
VAL2-G030-RANDOM_STATIC-SHORT-01,30,short,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,6.656854249492381,,30,2.1443200103628137,0.06432960031088442,0.0925833999644965
VAL2-G030-RANDOM_STATIC-SHORT-02,30,short,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,10.82842712474619,,44,2.303234095134857,0.10134230018593371,0.15887459996156394
VAL2-G030-RANDOM_STATIC-MEDIUM-01,30,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,18.142135623730955,,73,2.074201380808468,0.15141670079901814,0.22064250009134412
VAL2-G030-RANDOM_STATIC-MEDIUM-02,30,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,19.48528137423857,,78,2.4707679642746463,0.19271990121342242,0.30423509993124753
VAL2-G030-RANDOM_STATIC-LONG-01,30,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,28.970562748477146,,116,2.3506543165522404,0.27267590072005987,0.4248151999199763
VAL2-G030-RANDOM_STATIC-LONG-02,30,long,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,30.970562748477146,,124,2.5698790371778513,0.31866500061005354,0.46828019991517067
VAL2-G030-STRUCTURED-SHORT-01,30,short,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,9.071067811865476,,37,2.695854048471193,0.09974659979343414,0.14454580005258322
VAL2-G030-STRUCTURED-SHORT-02,30,short,structured,False,False,True,False,True,True,longer_repeated_loop,,0,,10.82842712474619,,44,2.531777270963754,0.11139819992240518,0.16238049999810755
VAL2-G030-STRUCTURED-MEDIUM-01,30,medium,structured,False,False,True,True,True,True,two_cell_oscillation,,0,,15.65685424949238,,63,2.1469968256525815,0.13526080001611263,0.2109315999550745
